,Year,City,Age Range,Number in Range
33,2015,"Albany, NY",25 to 34 Years,16221
429,2015,"Atlanta, GA",25 to 34 Years,97769
1221,2015,"Boise City, ID",25 to 34 Years,32674
1617,2015,"Boston, MA",25 to 34 Years,160732
2013,2015,"Buffalo, NY",25 to 34 Years,45033
2409,2015,"Charlotte, NC",25 to 34 Years,145380
2805,2015,"Chicago, IL",25 to 34 Years,530744
3201,2015,"Cincinnati, OH",25 to 34 Years,55956
3597,2015,"Columbus, OH",25 to 34 Years,174071
3993,2015,"Dallas, TX",25 to 34 Years,237015
4389,2015,"Denver, CO",25 to 34 Years,152706
4785,2015,"Detroit, MI",25 to 34 Years,95152
5181,2015,"Grand Rapids, MI",25 to 34 Years,35422
5577,2015,"Harrisburg, PA",25 to 34 Years,8005
5973,2015,"Hartford, CT",25 to 34 Years,19859
6369,2015,"Houston, TX",25 to 34 Years,417068
6765,2015,"Indianapolis city (balance), IN",25 to 34 Years,140893
7161,2015,"Jacksonville, FL",25 to 34 Years,140159
7557,2015,"Las Vegas, NV",25 to 34 Years,87920
7953,2015,"Los Angeles, CA",25 to 34 Years,704854
8349,2015,"Miami, FL",25 to 34 Years,74621
8745,2015,"Nashville, NC",25 to 34 Years,537
9141,2015,"New Orleans, LA",25 to 34 Years,72223
9537,2015,"New York, NY",25 to 34 Years,1526724
9933,2015,"Orlando, FL",25 to 34 Years,63965
10329,2015,"Philadelphia, PA",25 to 34 Years,290196
10725,2015,"Phoenix, AZ",25 to 34 Years,244164
11121,2015,"Pittsburgh, PA",25 to 34 Years,62755
11517,2015,"Portland, OR",25 to 34 Years,125143
11913,2015,"Raleigh, NC",25 to 34 Years,81670
12309,2015,"Richmond, VA",25 to 34 Years,42797
12705,2015,"Roanoke, VA",25 to 34 Years,15171
13101,2015,"Sacramento, CA",25 to 34 Years,88813
13497,2015,"San Diego, CA",25 to 34 Years,262399
13893,2015,"San Francisco, CA",25 to 34 Years,200061
14289,2015,"Seattle, WA",25 to 34 Years,157858
14685,2015,"Spokane, WA",25 to 34 Years,33577
15081,2015,"St. Louis, MO",25 to 34 Years,61677
15477,2015,"Syracuse, NY",25 to 34 Years,22863
15873,2015,"Tampa, FL",25 to 34 Years,61534
